,index,temp,dew_point_temp,rel_hum,wind_speed,visibility,press,wind_chill,daily_demand,hmdxx,temp_min,temp_max,temp_mean,temp_median,dew_point_temp_min,dew_point_temp_max,dew_point_temp_mean,dew_point_temp_median,rel_hum_min,rel_hum_max,rel_hum_mean,rel_hum_median,visibility_min,visibility_max,visibility_mean,visibility_median,press_min,press_max,press_mean,press_median,hmdxx_min,hmdxx_max,hmdxx_mean,hmdxx_median,week_of_year,day_of_week,year,month,day,demand_rolling_mean_3,demand_rolling_std_7,temp_roll_mean,temp_roll_std,rel_hum_roll_mean,rel_hum_roll_std,demand_lag_1,rel_hum_lag_1,wind_speed_lag_1,demand_lag_2,rel_hum_lag_2,wind_speed_lag_2,demand_lag_3,rel_hum_lag_3,wind_speed_lag_3,demand_lag_4,rel_hum_lag_4,wind_speed_lag_4,demand_lag_5,rel_hum_lag_5,wind_speed_lag_5,demand_lag_6,rel_hum_lag_6,wind_speed_lag_6,demand_lag_7,rel_hum_lag_7,wind_speed_lag_7,temp_humidity_interaction,temp_wind_speed_interaction
7,7,-13.225,-15.316666666666668,84.33333333333333,16.041666666666668,10.654166666666669,99.27166666666666,-20.541666666666668,18435.0,-17.718461565860345,-15.0,-9.5,-13.225,-14.1,-17.8,-10.7,-15.316666666666668,-16.45,78.0,92.0,84.33333333333333,84.0,1.6,25.0,10.654166666666669,9.7,98.97,99.81,99.27166666666666,99.19,-19.70443693991037,-13.544551988423366,-17.718461565860345,-18.66241908960867,1,3,1970,1,1,19607.93055555556,1495.2710119373696,-12.523214285714287,2.6844102147507583,77.18452380952381,4.508663031103825,20053.0,78.20833333333333,22.70833333333333,20335.791666666668,80.875,22.25,19183.20833333333,70.79166666666667,22.875,19080.70833333333,74.41666666666667,25.791666666666668,18992.70833333333,77.25,17.666666666666668,15783.333333333334,74.41666666666667,17.875,14655.208333333334,87.0,20.33333333333333,-1115.3083333333332,-212.15104166666669
8,8,-17.804166666666667,-22.325,68.08333333333333,7.666666666666667,31.29583333333333,100.80666666666669,-25.058823529411764,18043.75,-22.77155782117899,-21.8,-12.2,-17.804166666666667,-18.5,-26.3,-17.6,-22.325,-22.4,56.0,76.0,68.08333333333333,69.5,24.1,40.2,31.29583333333333,25.0,99.91,101.71,100.80666666666669,100.84,-26.9456326017306,-17.004724697266003,-22.77155782117899,-23.458662139277504,1,3,1970,1,1,18843.916666666668,815.1057112034639,-13.823214285714288,2.729764414123272,76.2797619047619,5.648137305913788,18435.0,84.33333333333333,16.041666666666668,20053.0,78.20833333333333,22.70833333333333,20335.791666666668,80.875,22.25,19183.20833333333,70.79166666666667,22.875,19080.70833333333,74.41666666666667,25.791666666666668,18992.70833333333,77.25,17.666666666666668,15783.333333333334,74.41666666666667,17.875,-1212.1670138888887,-136.49861111111113
9,9,-14.858333333333334,-18.841666666666665,71.91666666666667,10.75,20.78333333333333,101.655,-20.904761904761905,19717.916666666668,-19.501955071541666,-24.8,-5.2,-14.858333333333334,-15.6,-30.1,-9.1,-18.841666666666665,-20.0,56.0,93.0,71.91666666666667,71.5,4.0,25.0,20.78333333333333,25.0,100.67,102.07,101.65500000000002,101.81,-30.06469990556103,-9.069643518623176,-19.501955071541666,-20.441877703252896,1,3,1970,1,1,18732.222222222223,836.0295686454325,-14.144047619047617,2.695514382152607,75.51785714285714,5.851502316933611,18043.75,68.08333333333333,7.666666666666667,18435.0,84.33333333333333,16.041666666666668,20053.0,78.20833333333333,22.70833333333333,20335.791666666668,80.875,22.25,19183.20833333333,70.79166666666667,22.875,19080.70833333333,74.41666666666667,25.791666666666668,18992.70833333333,77.25,17.666666666666668,-1068.5618055555558,-159.72708333333335
10,10,-2.8791666666666664,-5.7375,80.79166666666667,16.041666666666668,14.8875,100.44125,-9.352941176470589,18584.291666666668,-6.155132673954956,-10.0,1.3,-2.8791666666666664,-3.05,-13.4,-1.4,-5.7375,-4.95,69.0,94.0,80.79166666666667,81.5,3.2,25.0,14.887499999999998,14.5,100.17,100.84,100.44125,100.39,-14.326525887022424,-1.410458907299254,-6.155132673954956,-6.322421127508811,1,3,1970,1,1,18781.986111111113,874.3636759367441,-13.150595238095239,4.9159847859146115,76.42857142857143,6.140509195058925,19717.916666666668,71.91666666666667,10.75,18043.75,68.08333333333333,7.666666666666667,18435.0,84.33333333333333,16.041666666666668,20053.0,78.20833333333333,22.70833333333333,20335.791666666668,80.875,22.25,19183.20833333333,70.79166666666667,22.875,19080.70833333333,74.41666666666667,25.791666666666668,-232.6126736111111,-46.18663194444444
11,11,-7.758333333333333,-9.816666666666666,85.29166666666667,9.25,17.291666666666668,99.89208333333332,-11.894736842105264,18506.25,-11.569206316487554,-16.1,-0.7,-7.758333333333333,-7.199999999999999,-17.3,-1.8,-9.816666666666666,-9.6,73.0,93.0,85.29166666666667,86.0,6.4,25.0,17.291666666666668,16.1,98.87,100.77,99.89208333333332,100.025,-20.768404568357617,-3.281748855435364,-11.569206316487554,-11.104927788682296,1,3,1970,1,1,18936.152777777777,912.2784639482219,-12.563690476190475,5.3231922435109995,78.5,6.363688221289425,18584.291666666668,80.79166666666667,16.041666666666668,19717.916666666668,71.91666666666667,10.75,18043.75,68.08333333333333,7.666666666666667,18435.0,84.33333333333333,16.041666666666668,20053.0,78.20833333333333,22.70833333333333,20335.791666666668,80.875,22.25,19183.20833333333,70.79166666666667,22.875,-661.7211805555555,-71.76458333333333
12,12,-3.6208333333333336,-6.595833333333334,79.95833333333333,14.458333333333334,13.479166666666666,98.8675,-8.73913043478261,17965.583333333332,-7.06430733841396,-6.8,0.1,-3.6208333333333336,-3.9,-9.3,-1.3,-6.595833333333334,-7.4,64.0,91.0,79.95833333333333,81.5,3.2,19.3,13.479166666666666,12.9,98.67,99.07,98.8675,98.84,-10.669643518623175,-2.459795019016257,-7.06430733841396,-7.538010385740087,1,3,1970,1,1,18352.041666666668,809.7760888484955,-10.795238095238094,6.004064705632175,78.36904761904762,6.315922182537797,18506.25,85.29166666666667,9.25,18584.291666666668,80.79166666666667,16.041666666666668,19717.916666666668,71.91666666666667,10.75,18043.75,68.08333333333333,7.666666666666667,18435.0,84.33333333333333,16.041666666666668,20053.0,78.20833333333333,22.70833333333333,20335.791666666668,80.875,22.25,-289.5157986111111,-52.35121527777778
13,13,-13.208333333333334,-17.591666666666665,69.91666666666667,22.125,21.925,98.62041666666666,-22.20833333333333,19073.75,-17.832615466150074,-20.1,-7.0,-13.208333333333334,-12.6,-26.6,-9.3,-17.591666666666665,-18.700000000000003,57.0,85.0,69.91666666666667,67.0,8.0,40.2,21.925,24.1,98.44,98.87,98.62041666666666,98.555,-25.256434955936257,-10.869643518623176,-17.832615466150074,-17.36594651127134,1,3,1970,1,1,18515.19444444444,608.282908121567,-10.479166666666668,5.773796371282678,77.18452380952381,7.082142757086026,17965.583333333332,79.95833333333333,14.458333333333334,18506.25,85.29166666666667,9.25,18584.291666666668,80.79166666666667,16.041666666666668,19717.916666666668,71.91666666666667,10.75,18043.75,68.08333333333333,7.666666666666667,18435.0,84.33333333333333,16.041666666666668,20053.0,78.20833333333333,22.70833333333333,-923.482638888889,-292.234375
14,14,-23.825,-29.5375,59.708333333333336,21.08333333333333,30.02916666666667,99.595,-35.5,19683.666666666668,-29.071247692886192,-26.5,-20.0,-23.825,-24.0,-32.2,-26.6,-29.537500000000005,-29.4,50.0,69.0,59.708333333333336,60.0,24.1,40.2,30.02916666666667,25.0,98.87,100.51,99.59499999999998,99.59,-31.813811278703128,-25.15643495593625,-29.071247692886192,-29.245472124222964,1,3,1970,1,1,18907.666666666668,718.7110484614495,-11.99345238095238,7.687008361704184,73.66666666666666,8.837656174951977,19073.75,69.91666666666667,22.125,17965.583333333332,79.95833333333333,14.458333333333334,18506.25,85.29166666666667,9.25,18584.291666666668,80.79166666666667,16.041666666666668,19717.916666666668,71.91666666666667,10.75,18043.75,68.08333333333333,7.666666666666667,18435.0,84.33333333333333,16.041666666666668,-1422.5510416666666,-502.3104166666665
15,15,-21.28333333333333,-26.1,65.58333333333333,9.625,19.554166666666667,100.985,-27.55555555555556,19514.95833333333,-26.33167773923987,-30.3,-12.6,-21.28333333333333,-18.9,-36.1,-14.0,-26.100000000000005,-24.05,47.0,89.0,65.58333333333333,63.5,1.6,40.2,19.554166666666667,19.3,100.27,101.41,100.985,101.09,-35.68028566504552,-16.993828802437477,-26.33167773923987,-23.95103984029845,1,3,1970,1,1,19424.125,675.7388713391863,-12.49047619047619,8.219375931764645,73.30952380952382,9.146026546391704,19683.666666666668,59.708333333333336,21.08333333333333,19073.75,69.91666666666667,22.125,17965.583333333332,79.95833333333333,14.458333333333334,18506.25,85.29166666666667,9.25,18584.291666666668,80.79166666666667,16.041666666666668,19717.916666666668,71.91666666666667,10.75,18043.75,68.08333333333333,7.666666666666667,-1395.8319444444442,-204.85208333333333
16,16,-9.708333333333334,-12.625,79.58333333333333,20.33333333333333,11.570833333333333,99.12,-17.375,19846.375,-13.946161176096146,-14.7,-7.0,-9.708333333333334,-9.45,-18.4,-9.5,-12.625,-12.5,67.0,92.0,79.58333333333333,80.5,1.2,25.0,11.570833333333333,8.05,98.71,100.11,99.12,99.01,-19.445923225123742,-10.95925939254928,-13.946161176096146,-13.84781609262726,1,3,1970,1,1,19681.666666666668,699.5979164555845,-11.754761904761903,8.202575683925696,74.40476190476191,9.40675837760295,19514.95833333333,65.58333333333333,9.625,19683.666666666668,59.708333333333336,21.08333333333333,19073.75,69.91666666666667,22.125,17965.583333333332,79.95833333333333,14.458333333333334,18506.25,85.29166666666667,9.25,18584.291666666668,80.79166666666667,16.041666666666668,19717.916666666668,71.91666666666667,10.75,-772.6215277777778,-197.40277777777774
