,temp,dew_point_temp,rel_hum,visibility,press,daily_demand,hmdxx,year,month,day_of_week,week_of_year,sun_set
64,-1.3958333333333333,-3.5541666666666667,85.41666666666667,17.983333333333334,99.69625,15489.0,-4.313404977376776,1994,3,6,9,19.0
65,1.9166666666666667,0.275,89.04166666666667,10.804166666666667,99.38375,16602.583333333332,-0.1666881378665452,1994,3,0,10,19.0
66,-1.2958333333333334,-5.320833333333334,74.16666666666667,27.32916666666667,99.65541666666668,17064.5,-4.525416983568014,1994,3,1,10,19.0
67,-4.4,-7.654166666666666,78.5,23.025,100.215,17710.166666666668,-8.020480540147512,1994,3,2,10,19.0
68,-3.6125,-6.833333333333333,79.625,21.316666666666663,99.25625,17238.166666666668,-7.109737924781281,1994,3,3,10,19.0
69,-5.325,-11.0,65.875,31.3,100.6575,16978.375,-9.401444078498674,1994,3,4,10,19.0
70,-3.1125000000000003,-7.483333333333333,72.45833333333333,23.9875,100.82166666666666,15939.041666666666,-6.626762228291249,1994,3,5,10,19.0
71,0.6166666666666667,-2.529166666666667,79.91666666666667,16.304166666666667,99.68,15008.333333333334,-2.087878343182481,1994,3,6,10,19.0
72,-1.6708333333333334,-3.641666666666667,86.91666666666667,8.583333333333334,98.98458333333332,16820.583333333332,-4.599578294128928,1994,3,0,11,19.0
73,1.7375,-0.2833333333333334,86.54166666666667,12.970833333333331,97.79916666666666,16603.166666666668,-0.4290845460826842,1994,3,1,11,19.0
74,-7.620833333333334,-10.508333333333333,79.875,12.841666666666669,98.58708333333334,17806.0,-11.618856384993494,1994,3,2,11,19.0
75,-6.879166666666666,-10.6,74.875,27.95833333333333,99.0425,17809.583333333332,-10.864275053511037,1994,3,3,11,19.0
76,-4.329166666666667,-7.216666666666666,80.54166666666667,15.245833333333332,97.93291666666666,17348.166666666668,-7.89489329873387,1994,3,4,11,19.0
77,-2.216666666666667,-7.716666666666666,66.95833333333333,32.6,98.55166666666666,15809.833333333334,-5.863138406117563,1994,3,5,11,19.0
78,-0.2999999999999999,-6.016666666666667,66.04166666666667,31.96666666666667,99.24166666666667,14983.958333333334,-3.6391353533734256,1994,3,6,11,19.0
79,0.8166666666666668,-1.3875,85.70833333333333,17.125,98.35083333333334,16893.5,-1.6376078407457966,1994,3,0,12,19.0
80,5.8500000000000005,-0.2125,66.25,29.26666666666667,98.66666666666669,15870.625,3.653075619332355,1994,3,1,12,19.0
81,7.670833333333333,0.6916666666666668,63.375,16.379166666666666,98.71166666666666,15471.083333333334,5.690262798835721,1994,3,2,12,19.0
82,5.491666666666667,1.0375,73.29166666666667,18.041666666666668,98.52375,15925.666666666666,3.652334685191845,1994,3,3,12,19.0
83,-0.7125,-5.375,70.79166666666667,30.600000000000005,99.43458333333332,16576.25,-3.98031900457176,1994,3,4,12,19.0
84,-0.3791666666666666,-6.054166666666667,67.125,32.6,99.92375,15217.166666666666,-3.7678782031541895,1994,3,5,12,19.0
85,1.325,0.2875,93.1875,6.154166666666666,98.54729166666668,15046.416666666666,-0.7381831342534536,1994,3,6,12,19.0
86,2.558333333333333,-0.6666666666666666,79.91666666666667,24.54583333333333,99.01041666666669,16125.5,0.2371364873027526,1994,3,0,13,19.0
87,1.2458333333333331,0.4333333333333333,94.29166666666669,5.754166666666666,99.50833333333333,16415.25,-0.8043575400087378,1994,3,1,13,19.0
88,0.4083333333333334,-3.2,77.20833333333333,31.320833333333336,100.31791666666668,16462.833333333332,-2.433686591607781,1994,3,2,13,19.0
89,2.7291666666666665,-2.5,69.875,26.629166666666663,99.8675,16036.375,0.0040995541949092,1994,3,3,13,19.0
90,5.216666666666667,-3.625,54.5,28.34166666666667,99.43208333333332,14194.75,2.2712765046464383,1994,4,4,13,19.0
91,7.399999999999999,1.4416666666666669,68.29166666666667,20.854166666666668,99.18041666666666,14045.25,5.6947924260817615,1994,4,5,13,19.0
92,1.7625,-1.7291666666666667,78.41666666666667,27.887500000000003,99.17041666666668,13829.708333333334,-0.7565935625884391,1994,4,6,13,20.0
93,4.070833333333334,-2.583333333333333,65.125,19.9,99.40958333333332,15443.583333333334,1.3286346462608083,1994,4,0,14,20.0
94,4.604166666666667,-0.0208333333333333,73.25,14.008333333333333,98.94416666666666,15967.791666666666,2.457609951260383,1994,4,1,14,20.0
95,-1.0083333333333333,-2.2625,91.33333333333331,7.95,99.23833333333332,16617.708333333332,-3.684485490277891,1994,4,2,14,20.0
96,-0.425,-5.2875000000000005,70.41666666666667,31.71666666666667,99.90458333333332,16276.666666666666,-3.648501538920984,1994,4,3,14,20.0
97,1.4083333333333332,-4.658333333333333,64.41666666666667,31.52083333333333,100.82625,15869.75,-1.6951693186470178,1994,4,4,14,20.0
98,8.920833333333333,1.75,61.54166666666666,27.98333333333333,99.44833333333332,14238.125,7.345202018242596,1994,4,5,14,20.0
99,8.091666666666667,1.2916666666666667,63.41666666666666,31.191666666666663,99.58583333333333,13430.916666666666,6.323351229345868,1994,4,6,14,20.0
100,4.3125,-4.566666666666666,55.16666666666666,32.9,101.04666666666668,15339.25,1.2005774712984787,1994,4,0,15,20.0
101,5.275,0.1916666666666665,72.16666666666667,18.9875,100.11916666666669,15668.875,3.333072290381134,1994,4,1,15,20.0
102,8.341666666666667,6.579166666666667,89.25,13.237500000000002,98.36,15413.208333333334,8.239709208375247,1994,4,2,15,20.0
103,10.558333333333334,6.479166666666667,76.66666666666667,18.466666666666665,98.7075,15131.25,10.391876234653898,1994,4,3,15,21.0
104,12.520833333333334,6.979166666666667,71.29166666666667,13.745833333333332,98.68,14699.708333333334,12.612347858470931,1994,4,4,15,21.0
105,7.558333333333334,2.8208333333333333,72.625,28.42916666666667,98.19375,13964.75,6.210955753916334,1994,4,5,15,21.0
106,4.945833333333334,-3.658333333333333,55.083333333333336,33.12083333333334,98.91708333333334,13951.208333333334,1.991970720095729,1994,4,6,15,21.0
107,8.341666666666667,-2.85,48.125,33.82916666666667,99.37125,15196.708333333334,5.618030674249927,1994,4,0,16,21.0
108,10.304166666666667,1.4458333333333335,57.25,33.86666666666667,98.93958333333336,14792.791666666666,8.624536907941541,1994,4,1,16,21.0
109,4.9875,-5.716666666666666,47.125,33.86666666666667,99.80625,15262.708333333334,1.656547076806166,1994,4,2,16,21.0
110,4.6125,-6.8500000000000005,45.5,33.86666666666667,99.99875,15256.375,1.1058738693911567,1994,4,3,16,21.0
111,5.154166666666667,-6.870833333333334,44.208333333333336,33.86666666666667,100.08208333333332,15176.5,1.641575822843711,1994,4,4,16,21.0
112,9.725,-5.358333333333333,36.583333333333336,33.2,99.57708333333332,13674.541666666666,6.463479468480156,1994,4,5,16,21.0
113,17.233333333333334,5.708333333333333,49.708333333333336,21.70833333333333,98.52208333333331,12739.583333333334,17.28866500550616,1994,4,6,16,21.0
114,13.233333333333334,11.766666666666666,90.95833333333331,8.295833333333333,98.79416666666668,14639.583333333334,15.491163182689348,1994,4,0,17,21.0
115,12.025,9.679166666666667,86.25,6.737500000000001,98.80375,14794.625,13.191561073678695,1994,4,1,17,21.0
116,14.754166666666668,9.783333333333331,73.29166666666667,22.8,99.04125,14612.791666666666,16.31551550154058,1994,4,2,17,21.0
